sentence,fuel,machine,others,part,price,service
 yamaha lexi handling mantep tenaga mboten dipunragukaken amargi sampun teknologi vva. ,neutral,neutral,neutral,neutral,neutral,negative
 menawi diadu mlajengipun miyos lincah brio daripada mobilio ,neutral,neutral,positive,neutral,neutral,neutral
 kula sampun agem wuling confero meh    1 warsa. mesin mboten rewel. bbm oke. ,neutral,neutral,negative,neutral,neutral,neutral
 vario lemot. mboten wonten mlajengipun. ,neutral,neutral,neutral,negative,negative,neutral
 mio tenaganipun  miyos kiyat daripada vario ingkang lemot ,neutral,neutral,neutral,positive,neutral,neutral
 inden wuling cortez mboten dangu antrinipun  ,neutral,neutral,neutral,neutral,neutral,positive
" mboten malih-malih gua service wonten nissan sunter, sampun pelayananipun   awon  terus servicenipun  amburadul ",positive,neutral,positive,neutral,positive,neutral
" kecewa sami bengkel suzuki bendan, garapan mboten sae  . suck. ",neutral,neutral,positive,neutral,neutral,neutral
" formo baris kaping  kalih, kursinipun  awon  sanget. ",neutral,neutral,neutral,positive,neutral,neutral
 sangertos kula suzuki splash mboten dipunjangkepi kaliyan airbag. ,positive,neutral,positive,positive,neutral,neutral
 menawi saking eksterioripun   kula miyos remen brio daripada calya ,neutral,neutral,negative,neutral,neutral,neutral
 jazz irit bbm dados irit kantong ugi . ,neutral,neutral,neutral,neutral,neutral,negative
 kula ngagem honda jazz gk5 warsa 2014 ( pertami ngluncur ) . mobilipun   sae   lan eca  cocog  motonipun  ngremenaken  kagem dikendarai ,neutral,neutral,negative,neutral,neutral,neutral
 avanza kenging menapa dados boros bensin kados menika empun ah. enggal dipunisi sampun badhe sapalih  mawon . ,neutral,positive,neutral,positive,neutral,neutral
" saran kula  lan pengalaman kula  , mending mundhut mobil niaga l300 utawi canter . irit lan bandel . ",neutral,negative,neutral,neutral,neutral,neutral
 saking segi regi  ugi  pajero miyos awis  30 jutaan dipunbanding fortuner ,neutral,neutral,positive,neutral,neutral,neutral
 menawi midherek gw eca  pajero si ,neutral,neutral,negative,neutral,neutral,neutral
 ch -r versi nagari menika kirang worth it soal fitur lan kajangkepan ,neutral,neutral,neutral,neutral,neutral,negative
" @linaradj kapan-kapan cobi bengkel daihatsu , piyambakipun sedaya badhe koh . servis miyos sae   . ",neutral,neutral,positive,neutral,neutral,neutral
 mending confero reginipun   miyos mirah daripada formo. ,neutral,neutral,neutral,neutral,neutral,negative
 menawi soal servis mending pilih grand livina soalipun   after sales servicenipun  gampil lan enggal ,neutral,neutral,positive,neutral,neutral,neutral
 dilah utami ngajeng grand new veloz ugi  keparingan ebah      desain lan terkesan miyos agresif lan sakedhik nonjol   ,neutral,neutral,positive,neutral,positive,positive
 motor beat kula   ingkang ngancani kula   wonten wekdal dhateng pundi mawon lan ingkang wigatos bbm ipun    ramah lingkungan lan ramah ugi  wonten kantong lan tarikanipun   mantep sanget . ,neutral,positive,neutral,neutral,neutral,neutral
" xenia warsa 2008 wongsal-wangsul jakarta -bandung , aki tetep aman . ",positive,neutral,neutral,neutral,neutral,neutral
 #yamahaid perawatan motor injeksi yamaha gampil lan mirah ,neutral,neutral,neutral,neutral,positive,neutral
 damel lebeting kitha xpander sae   amargi modelipun   kalem lan kesanipun   car city ,neutral,neutral,neutral,neutral,neutral,negative
 brio pajakipun   mirah amargi ckd daripada ignis utawi sirion ingkang cbu pajakipun   radi awis  trus onderdilipun   radi sekel utawi dangu menawi badhe klaim asuransi ,positive,neutral,neutral,positive,neutral,neutral
 toyota menang reginipun   menawi mangkenipun badhe dipunsade ,neutral,neutral,neutral,positive,neutral,neutral
 all new toyota kidang innova g diesel 2017 . mesin bandel nan irit otolovers . ,neutral,neutral,positive,neutral,neutral,neutral
" mliginipun   daihatsu xenia sporty manual , menapa malih ingkang paling enggal menika , wonten sisi    irit bbm , suwanten mesin lembat . tarikan miyos sae saking generasi saderengipun  lan akselerasi cekap nggih lan variasi mboten patos monoton utawi rame  . ",neutral,neutral,neutral,neutral,positive,neutral
 kagem ingkang samenika great new xenia sampun kagungan fasilitas ingkang wow kaliyan regi  ingkang mitran     malah  miyos mirah daripada rivalipun   ,neutral,neutral,neutral,positive,neutral,neutral
" kagungan mobil altis mboten awet , enggal sawarsa sampun risak . ",neutral,neutral,neutral,positive,neutral,neutral
 xenia kula  tipe xi sampun 1.5 warsa lan cekap bingah kaliyan performanipun  ,neutral,neutral,positive,neutral,neutral,neutral
" service rutin dhateng bengkel daihatsu resmi mboten jaminan ugi  , rem kula   blong wekdal {margi, mlampah} , ",neutral,neutral,positive,neutral,neutral,neutral
" kula agem karimun , rayi kula agem brio . estu   karimun miyos nyaman sanadyan miyos mirah saking brio . ",neutral,neutral,negative,neutral,neutral,neutral
 bodi plus tampilanipun   avanza enggal mantep juragan ,positive,positive,positive,neutral,neutral,neutral
 sampun saking rumiyin toyota tansah asih  produk super awis  kaliyan fitur pas pasan ,neutral,neutral,positive,neutral,neutral,neutral
" empun gayanipun  stylish ekonomis ugi , mundhut calya deh ",neutral,neutral,neutral,neutral,neutral,negative
 avanza menika mobil kula ingkang paling bandel ,neutral,neutral,neutral,neutral,neutral,positive
 mobil kwalitet awon  kados wuling mawon mlebet indonesia. ,neutral,neutral,neutral,negative,neutral,neutral
 pelayanan bengkel daihatsu sae   ,neutral,neutral,neutral,neutral,neutral,negative
" kula kagungan xenia xi , dasbor nabrak wit   , sasampunipun kalih dinten dipundandosi wonten servis resmi daihatsu , langsung dados kados enggal malih , keren . ",neutral,neutral,neutral,neutral,neutral,positive
" fortuner peripun   atos|sora , sayah ",neutral,neutral,neutral,negative,neutral,neutral
" miyos sae   mobil esemka , mobil nasional asli damelan lebet nagari , regi  terjangkau , irit bbm mesinipun   ugi  tanggen . ",positive,positive,positive,neutral,neutral,neutral
" nggih kados menika menika nissan , estu   radi awis  nanging daya tahanipun   sae   . ",neutral,neutral,neutral,neutral,positive,neutral
 fortuner mboten cocok damel mahasiswa saking segi desain ingkang sanget-sanget mencolok lan awis  ugi  ,neutral,neutral,positive,neutral,neutral,neutral
 servis wonten bengkel toyota miyos enggal ,positive,neutral,neutral,neutral,neutral,neutral
 honda spacy irit sanget sumpah ,neutral,neutral,positive,neutral,neutral,neutral
 mboten saged sare menawi ndalu-ndalu wonten mobil amargi suwanten acipun   berisik sanget ,neutral,neutral,neutral,neutral,neutral,positive
" ih bengkel honda menika picik sanget nggih , menapa nggih aki motor kula dipunlintu sami ingkang awon  supados mboten saged sugeng terus wonten keluhan terus mrika malih ngoten ",neutral,neutral,neutral,neutral,neutral,positive
" saking segi kenyamanan cortez oke lah, nanging bahan bakaripun   menika loh boros sanget ",neutral,positive,neutral,positive,neutral,neutral
" jujur mawon indenipun   dangu sanget saking dealer , sampun 1 sasi  dereng rawuh ugi  ",neutral,neutral,neutral,negative,neutral,neutral
 nderek  gabung nggih enggal mundhut xenia 04 -2008 3 dinten ingkang rumiyin sedayanipun kula ngerasa cekap . ,neutral,neutral,neutral,negative,neutral,neutral
 kersa sanget menawi jazz miyos keren lan mantep daripada mobilio ,neutral,neutral,neutral,neutral,neutral,negative
" masya allah toyota awis  reginipun   , nanging pelit fitur-fitur ",neutral,neutral,positive,neutral,neutral,neutral
 fortuner sparepartipun   kathah dipunsade wonten pundi-pundi ,positive,neutral,neutral,neutral,neutral,neutral
" alhamdullilah inden saking dealer wulling agustus wiwiting mobil sampun rawuh , enggal . ",neutral,neutral,neutral,negative,neutral,neutral
" vario 125 ringan sanget lan nyaman dipunagem kagem putri kados   kula , menapa malih dipunasta dhateng pundi-pundi irit sanget lan reginipun   terjangkau dipunbandingaken motor honda ingkang sanes . ",neutral,negative,neutral,neutral,neutral,neutral
" empun mundhut ingkang rush 2018 , alhamdulillah mboten wonten penyesalan dumugi wekdal menika lan insyaallah salajengipun  ",neutral,negative,neutral,neutral,negative,neutral
 handling mini cooper juwara . ,neutral,neutral,neutral,positive,positive,neutral
 kula marem sanget kaliyan mobil kula kejawi kagungan salira ageng kepriksan mewah lan irit sanget bahan besmi amargi unjukipun solar dados mantep kidang innova ,neutral,neutral,positive,neutral,neutral,neutral
 xenia mboten awet sanget masa enggal 6 sasi  sampun wonten masalah ,positive,neutral,neutral,positive,positive,neutral
 dangu sanget ngentosi inden xpander kesesa kula sade menika mobil ,neutral,negative,neutral,neutral,neutral,neutral
" kula minggah mazda cx3 sadinten-dinten . performa mantep , mobil nyaman mboten kados   honda hrv ingkang cenderung goyang-goyang ",neutral,neutral,neutral,positive,neutral,neutral
" avanza guncangan mesinipun   lembat sanadyan wonten ratan ingkang mboten mulus , ac mboten nedhak sanadyan dipunsumed tanpa mendel , lan mesin mboten enggal benter berlebih sanadyan macet bermenit-menit . ",neutral,neutral,neutral,neutral,neutral,negative
" wuling formo mobil cina, mesinipun   mboten yuswa panjang amargi wonten cina ugi  mboten wonten ingkang umuripun   panjang. ",neutral,neutral,neutral,negative,neutral,neutral
" mobil honda estu  keren , kula kagungan honda crv warsa 2006 ngantos samenika taksih mulus , ",positive,neutral,neutral,neutral,neutral,neutral
" honda slalu nanggung lan maksa saben kali nindakaken upgrade mobil yangg sampun wonten , mbosenaken  ",neutral,neutral,neutral,neutral,negative,neutral
 bengkel ahas togosari servicenipun  mboten maremaken mekanikipun   mboten fokus lan awon  . mboten kados   rumiyin . kados pundi menika bos . ,neutral,neutral,neutral,neutral,positive,neutral
" ngge ingkang orientasi pengendara , mitsubishi menika cocok sanget badhe mobil ingkang ngremenaken  kagem dikendarai eca  dipunasta jawi sami lebeting kitha ",neutral,neutral,neutral,neutral,neutral,positive
"sampun kalih warsa kula ngagungani motor honda beat menika , motor menika sadinten-dintenipun kula ngagem kagem antar lare  sekola lan nyambut damel . motor ingkang lumayan gesit , lincah lan irit bbm . ",positive,positive,neutral,neutral,neutral,neutral
 pajero kagungan mesin ingkang miyos bertenaga lan kathah fitur ,neutral,positive,neutral,positive,neutral,neutral
 suzuki ignis lan daihatsu sirion regi  jualipun   ugi  mboten stabil ,neutral,neutral,neutral,neutral,negative,neutral
 menawi midherek kula suspensi avanza radi aneh . menawi naming berdua suspensinipun  kraos  atos|sora sanget . nanging menawi dipunisi kebak 6 -7 tiyang suspensinipun  mantep leres . ,neutral,neutral,neutral,negative,neutral,neutral
" menawi sampun wonten inggil 120 km / tabuh boros sanget avanza kula , terus koplingipun   estu   radi atos|sora juragan . ",negative,neutral,neutral,negative,neutral,neutral
" kaping sapisan ngagungani mobil menika raosipun   kados   supena , amargi sasampunipun keparing mobil kasunyatanipun menang undian ugi  10 yuta rupiyah saking daihatsu . mobil irit , servis gampil lan mirah . ",positive,neutral,neutral,neutral,neutral,positive
 mendingan vrz 4 * 4 sami     fitur jangkep spoiler saged mundhut wonten toko variasi ,neutral,neutral,neutral,positive,neutral,neutral
 rush konde konsumsi bbm ingkang tetep irit . ,negative,neutral,neutral,neutral,neutral,neutral
 xenia estu   taksih kirang saking segi keamananipun   . toya bag ipun    mboten wonten bos . ,neutral,neutral,neutral,positive,neutral,neutral
 pajero sport dakar estu   wonten inggil fortuner ,neutral,neutral,negative,neutral,neutral,neutral
 rumiyin kula mboten remen sami xpander . ,neutral,neutral,negative,neutral,neutral,neutral
 altis gen 11 pas lah ngge ingkang pados kenyamanan berkendara ,neutral,neutral,positive,neutral,neutral,neutral
" fortuner kula koh setiripun   radi mboten eca  ngoten , nggih . mboten luwes . ",neutral,neutral,neutral,negative,neutral,neutral
 putaran andhaping mesin fortuner kiyat sanget ,neutral,positive,neutral,neutral,neutral,neutral
 jujur fortuner menika bandel sanget dipunagem wonten medan menapa nggih ,neutral,positive,neutral,neutral,neutral,neutral
 pengalaman kula kagungan avanza bahan bakaripun   miyos hemat daripada nalika kula kagungan xenia ,negative,neutral,neutral,neutral,neutral,neutral
" kala-wingi kula wonten honda brio , enggal 2 warsa agem lan awis   dipunagem samparan samparan sampun ungel , rem enggal telas , sami sil booster rem utawi master rem ingkang rembes ",neutral,neutral,neutral,negative,neutral,neutral
" sirion menika sanget-sanget overpriced bos , saged mboten pajeng  wonten indonesia ",neutral,neutral,negative,neutral,negative,neutral
 xenia menika mobil paling awon  ingkang nate   kula kagungan ,neutral,neutral,negative,neutral,neutral,neutral
 kula akeni eca  sanget hrv menika mengendarai kagungan sadherek agem hrv ,neutral,neutral,positive,neutral,neutral,neutral
 payah payah mboten wonten ingkang becus niki bengkel honda . seminggu saking bengkel sampun ungel malih mawon . ,neutral,neutral,neutral,neutral,neutral,negative
" daihatsu taruna , kejawi tampangipun   modern kala menika , kapasitas penumpangipun   kathah lan tamtu mawon , mobil menika sampun dipundamel ala-ala suv ",neutral,neutral,neutral,positive,neutral,neutral
 midherek kula saking segi kenyamanan sih bolehlah lumayan si xenia ,neutral,neutral,positive,neutral,neutral,neutral
 avanza bahan bakaripun   ingkang irit . ,positive,neutral,neutral,neutral,neutral,neutral
 toyota rush 2018 tarikanipun   luar biasa ,neutral,positive,neutral,neutral,neutral,neutral
 avanza mobil ingkang nyaman kagem keluwargi lan mboten patos awis  perawatanipun   ,neutral,neutral,positive,neutral,neutral,positive
" kula waos wonten inggil tangga   , xenia ugi  minggah menika sawentawis 2 -3 yuta . saya  awis  mawon nggih mobil samenika . ",neutral,neutral,neutral,neutral,negative,neutral
 mila       kapok kagem rawuh dhateng bengkel honda autoland menawi kagem servis saestu amargi mesthi badhe dibantah ,neutral,neutral,neutral,neutral,neutral,negative
 tansah setya ngagem saben  produk nissan . ,neutral,neutral,positive,neutral,neutral,neutral
" duka  kenging menapa si avsen menawi kagem mobil perang tebih miyos oke , sanadyan mboten stabil , mboten sanget-sanget nyaman , ",neutral,neutral,negative,neutral,neutral,neutral
" remen sanget sami agya, tarikanipun   menika loh lembat sanget ",neutral,positive,neutral,neutral,neutral,neutral
" gua padhang pilih pajero , kejawi keren modelipun   lan kepriksan dinamis , mesin ugi  mantep , model dasboard sporty ",neutral,positive,positive,positive,neutral,neutral
" toyota rush kula sampun yuswa 8 , tenaganipun  kirang power full ",neutral,negative,neutral,neutral,neutral,neutral
" sampun seminggu kagungan lexi , tebih miyos nyaman dipunbandingaken vario . ",neutral,neutral,negative,neutral,neutral,neutral
 tarikan lincah mesthi avanza ,neutral,positive,neutral,neutral,neutral,neutral
 xenia mlajengipun miyos lincah daripada avanza ingkang radi ringkih ,neutral,negative,neutral,neutral,neutral,neutral
 tenaga maknyus sae   . vario125 esp combi brake eca  mboten nglingsemaken . ,neutral,positive,neutral,positive,neutral,neutral
 avanza kula koplingipun   estu   radi atos|sora juragan . ,neutral,neutral,neutral,negative,neutral,neutral
 nanging regi  otr xi miyos awis  daripada li ,neutral,neutral,neutral,neutral,positive,neutral
 mitshubisi raja margi   ,neutral,neutral,positive,neutral,neutral,neutral
" pundhut mobil wonten bengkel honda pondok endah . sampun bibar   servis , nanging mobil reged sanget . nanging teknisi ngotot sampun dicuci . ",neutral,neutral,neutral,neutral,neutral,negative
 kula pangagem xenia li vvti 2008 sadangu ngagem mboten wonten masalah lancar-lancar ,neutral,neutral,positive,neutral,neutral,neutral
" estu   xenia bandel , kula remen  sanget kaliyan mobil kula menika . ",neutral,positive,positive,neutral,neutral,neutral
 ingkang kantenan kula mboten getun    pilih calya ,neutral,neutral,positive,neutral,neutral,neutral
 menawi kula sih ingkang pemula . miyos remen exterior brio . naming menawi kajangkepan fitur estu   sirion ,neutral,neutral,neutral,positive,neutral,neutral
 ngge ingkang kagungan avanza lan xenia mesthi sampun ngraosaken berisikipun   suwanten wonten lebet kabin lan lemahipun   bantingan mobil . ,neutral,neutral,neutral,negative,neutral,neutral
 avanza oke sanget manuveripun   ,neutral,positive,neutral,neutral,neutral,neutral
" avanza ngagungani kapasitas 7 penumpang ingkang nyaman lan aman , lan daya tahan miyos sae berkat sasis semi -monokok ingkang dipunkempalaken kaliyan sub-frame juragan ",neutral,neutral,neutral,positive,neutral,neutral
" sampun reginipun   awis , fortuner menika ugi  konsumsi bahan bakaripun   lumayan menguras dompet ",negative,neutral,negative,neutral,neutral,neutral
 xenia li cekap mumpuni koh dados   mobil irit lan cekap bertenaga . ,positive,positive,neutral,neutral,neutral,neutral
 fortuner sparepartipun   sekel dipunpadosi ,neutral,neutral,neutral,negative,neutral,neutral
" ingkang kula remen saking avanza menika volumenipun  ingkang ageng, peputra saged bebas bersantai wonten lebeting mobil ",neutral,neutral,neutral,positive,neutral,neutral
" kula kagungan xenia li 08 family , sepanjang pangagemanipun dereng wonten keluhan sih . ",neutral,neutral,positive,neutral,neutral,neutral
" langsung kagum bgt kaliyan kenyamananipun   , wiwit saking kedapipun   kabin , bantingan suspensi dll ",neutral,neutral,positive,positive,neutral,neutral
" fortuner kados pundi yah ... tenaga limrah mawon , menawi pajero sport tenaga mboten lingsem lingsemaken ",neutral,positive,neutral,neutral,neutral,neutral
" 12 cup holders koh kesanipun   mboten berfaedah damel mobil seven seater , asmanipun mawon seven seater menapa dumugi 12 wikwikwik , mendingan legain kabin drpd banyakin cup holder ",neutral,neutral,neutral,negative,neutral,neutral
 honda brio kagungan setir ingkang presisi lan jejeg kados   86 kados menika nggih jok sporty ipun    ala racing . ,neutral,neutral,neutral,positive,neutral,neutral
" getun    mundhut agya, tarikan alon   menawi dipunagem rame-rame mboten kiyat ",neutral,negative,neutral,neutral,neutral,neutral
 menawi soal overall si kantenan sanget pajero miyos menang katimbang fortuner ,neutral,neutral,negative,neutral,neutral,neutral
 alesanipun   regi  fortuner wonten ngandhap regi  pajero ,neutral,neutral,neutral,neutral,negative,neutral
 salah setunggal ingkang paling kula remen saking merek honda menika inggih menika ultra seat ,neutral,neutral,neutral,positive,neutral,neutral
 saya    elok   mawon niki avanza juragan ,neutral,neutral,positive,neutral,neutral,neutral
" mobil menika kula akeni paling pas kagem nyambut damel kaliyan mobilitas inggil , gede mboten , alit  ugi  mboten , mlebet2 kampung gang alit  inggah-inggah terjal lincah , lan ingkang paling wigatos penggerak roda wingking cocok damel sedaya medan ",neutral,positive,neutral,positive,neutral,neutral
" ignis worth it mas kaliyan regi  paling andhap 139,5 yuta . ",neutral,neutral,neutral,neutral,positive,neutral
" mundhut beat fi damel dintenan , tarikanipun   nyaman , irit sanget menawi dipundamel kuliah . regi  oke . ",positive,positive,neutral,neutral,positive,neutral
 wuling confero s 1.5 l lux+ dhateng jawi wetan park 3 kraos  kenyamanan mobil menika mboten limbung . ,neutral,neutral,positive,neutral,neutral,neutral
" keren ugi  xpander , kraos  mobil masa ngajeng ",neutral,neutral,positive,neutral,neutral,neutral
" konsumsi bbm hrv ugi  irit sanget saged dumugi 13,5 km / l ",positive,neutral,neutral,neutral,neutral,neutral
 kalangkungan avanza ingkang ndamel  kula dhawah panggalih sami avanza inggih menika pangageman sistem penggerak roda wingking utawi rear wheel drive . ,neutral,neutral,neutral,positive,neutral,neutral
 hadeh toyota prado sedaya risak . estu  tembung abang kula perawatan mobil matic menika sekel ,neutral,neutral,neutral,neutral,neutral,negative
" miyos nyaman all new avanza , miyos gesit . akselerasi miyos sae . ",neutral,positive,neutral,neutral,neutral,neutral
 toyota rush cocok kagem sedaya mangsa berjiwa petualang . ,neutral,neutral,positive,neutral,neutral,neutral
" kula pangagem xpander , kula cobi wonten tanjakan-tanjakan dieng kaliyan penumpang 6 tiyang sampun yuswa , oke-oke mawon koh . lan estu   mantep menika mobil ",neutral,neutral,positive,neutral,neutral,neutral
 estu   sae   sih brio patut  pajeng  atos|sora ,neutral,neutral,positive,neutral,neutral,neutral
" @iip_bados05 bengkel resmi toyota , honda , daihatsu menika standartipun   miyos sae   saking bengkel limrah mas , so astrido kagungan toyota . ",neutral,neutral,neutral,neutral,neutral,positive
" menawi ngutamikaken desain sih nggih mending brio mawon, nanging menawi saking segi tenaga taksih kirang ",neutral,negative,neutral,positive,neutral,neutral
 brio mobilipun   awon  sanget mboten sae   . ,neutral,neutral,negative,neutral,neutral,neutral
 fortuner gayanipun  stylish sanget cocok kagem panjenengan ingkang hobi ameng ameng instagram ,neutral,neutral,neutral,positive,neutral,neutral
" minggah honda beat , kula ingkang 180 cm kraos  abang-abang minggah troli bayi . ",neutral,neutral,negative,neutral,neutral,neutral
 kelemahan avanza poweripun   remen tedhak menawi sampun benter ,neutral,negative,neutral,neutral,neutral,neutral
" kala-wingi kula keparing grab agem xpander exceed , kasunyatanipun tebih miyos nyaman . ",neutral,neutral,positive,neutral,neutral,neutral
" agem hr -v 1.8 ngraosaken ugi  menawi mobil menika kabinipun   wiyar , interioripun   sae   . ",neutral,neutral,neutral,positive,neutral,neutral
" regi  ingkang mirah , nanging mesin avanza sae   ugi  . ",neutral,positive,neutral,neutral,positive,neutral
 reginipun   honda brio rs sayang sanget-sanget awis  midherek kula pribadi . ,neutral,neutral,neutral,neutral,negative,neutral
" kwalitet produk , teknologi , ngantos suku    cadang ingkang terjamin ugi  dados   aspek ingkang mengaruhi   daya tarik avanza menika juragan ",neutral,neutral,positive,positive,neutral,neutral
" menawi wonten budget miyos pilih xi mawon , tarikan miyos eca  lan bertenaga , ",neutral,positive,neutral,neutral,neutral,neutral
 avanza nyengkuyung sanget profesi ingkang kula lampahi amargi kagem setunggaling tiyang mahasiswa kados   kula . ,neutral,neutral,positive,neutral,neutral,neutral
 karakter mesin livina kenceng wonten high rpm utawi jarak tebih . ,neutral,positive,neutral,neutral,neutral,neutral
 avanza keren sanget menika mobil . daya tahan mesinipun   mboten dipunragukaken . wonten inggah-inggah mboten nglingsemaken . ,neutral,positive,positive,neutral,neutral,neutral
" 2018 awal nyobi   altis gen 11 facelift , raosipun   menika mobil makin-makin irit mawon . ",positive,neutral,neutral,neutral,neutral,neutral
" lawak sanget menika ahass honda , naming sapalih  dinten , menika nembe tabuh 10 , empun mboten nerima servis motor malih , ",neutral,neutral,neutral,neutral,neutral,negative
 rush 2018 varian g at irit bahan besmi . ,positive,neutral,neutral,neutral,neutral,neutral
" bingung menawi wonten bengkel ajrihipun   awon  , menawi servis wonten honda awis  ",neutral,neutral,neutral,neutral,neutral,negative
 brio kagungan fitur keamanan tingkat inggil ingkang mboten dipunkagungani 86 inggih menika speed limiter wonten 145 km / h ,neutral,neutral,neutral,positive,neutral,neutral
 dangu sanget nyambut damelipun teknisi honda !! menapa nggih empun 20 antrean dereng disentuh-sentuh motor kula  ? saking tabuh 10 woi ! estu  menawi servis menika sae   yamaha ! ,neutral,neutral,neutral,neutral,neutral,positive
" tenaga estu  ok , nanging desain pajero kados banci ... kirang gagah model pajero ",neutral,positive,neutral,negative,neutral,neutral
 inden fortuner enggal sanget rawuhipun cekap 1 sasi  mawon ,neutral,neutral,neutral,neutral,neutral,positive
" kambangan  &  xenia sami-sami irit juragan , pokokipun   xenia niki ",positive,neutral,neutral,neutral,neutral,neutral
 kagungan beat injeksi iritipun   nyuwun ampun dipunagem damel kenceng ugi  oke nanging setir kadhang goyang-goyang kados ban kempes ,positive,neutral,neutral,negative,neutral,neutral
 kula kersa vario tebih miyos eca  dipunbanding mio,neutral,neutral,negative,neutral,neutral,neutral
enggal pinten-pinten sasi  agem nmax koh sampun bosan nggih . ,neutral,neutral,negative,neutral,neutral,neutral
" mobil kula  xenia 1,3 cc marem sanget pakainipun  . ",neutral,neutral,positive,neutral,neutral,neutral
 vario pokokipun   miyos sae   daripada mio lebet sedaya bab ,neutral,neutral,negative,neutral,neutral,neutral
 xenia tembungipun sih miyos irit lan sampun kesupen paos  mobil dipuntemtukaken ugi  dening cc kendaraan ,positive,neutral,neutral,neutral,neutral,neutral
 fun to drive estu   honda brio taksih miyos fun saking sirion ,neutral,neutral,negative,neutral,neutral,neutral
